epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.6763,2.22554,8.56868,1.50899,0,0,0,0,2.28889,9.66253,1.65872,5.001e-05,5.001e-05,5.001e-05
2,64.6293,2.0758,8.91557,1.31909,0.00039,0.21429,0.00017,9e-05,1.82572,8.19666,1.21459,0.00011438,0.00011438,0.00011438
3,94.1495,2.02931,6.40692,1.22634,0.00082,0.44286,0.00057,0.00031,1.56791,7.56971,1.00261,0.000176109,0.000176109,0.000176109
4,127.787,1.66041,6.01579,1.00588,0.00098,0.53929,0.00084,0.00047,1.44458,7.14978,0.9762,0.000235197,0.000235197,0.000235197
5,159.004,1.8422,6.61011,1.06074,0.00121,0.61429,0.00093,0.00045,1.35273,7.24408,0.92046,0.000291645,0.000291645,0.000291645
6,189.829,1.76779,5.64586,1.09436,6e-05,0.03571,0,0,1.41323,7.06812,0.9364,0.000345452,0.000345452,0.000345452
7,221.216,1.79569,5.96007,1.20281,0,0,0,0,1.50286,7.25607,0.97745,0.000396619,0.000396619,0.000396619
8,251.059,1.76538,4.39856,1.23767,0,0,0,0,1.70193,7.44721,0.99147,0.000445146,0.000445146,0.000445146
9,282.36,1.96352,6.12041,0.99216,0,0,0,0,1.58365,7.76984,0.98859,0.000491032,0.000491032,0.000491032
10,313.233,1.83727,5.44749,1.12259,0,0,0,0,1.81833,7.98327,1.1439,0.000534277,0.000534277,0.000534277
11,343.433,1.91554,7.64758,1.13816,0,0,0,0,1.81537,7.47149,1.27485,0.000574882,0.000574882,0.000574882
12,373.991,1.71581,4.51675,1.11313,0,0,0,0,1.4514,6.90514,1.1615,0.000612846,0.000612846,0.000612846
13,404.8,1.63046,4.92222,1.04284,0,0,0,0,1.41628,6.96746,1.05887,0.00064817,0.00064817,0.00064817
14,435.149,1.81088,6.41497,1.20379,0,0,0,0,1.37496,6.97535,1.06697,0.000680853,0.000680853,0.000680853
15,466.794,1.84558,4.34525,1.17352,0,0,0,0,1.37885,6.68186,1.04504,0.000710895,0.000710895,0.000710895
